,,Business Hours,,,,,,
Urgent Care Center,Address,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Brampton Urgent Care Clinic,51 Mountainash Road; Unit 8; Brampton; ON L6R 1W4,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 6:00 pm,10:00 am - 6:00 pm
Etobicoke Urgent Care Clinic,25 Woodbine Downs Blvd.; Unit 10; Etobicoke; ON M9W 6N5,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 6:00 pm,10:00 am - 6:00 pm
Malton Urgent Care Clinic,3530 Derry Road East; Unit 110-111; Mississauga; ON L4T 4E3,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 6:00 pm,10:00 am - 6:00 pm
Woodbridge Urgent Care Clinic,4000 Hwy 7; Unit 2; Woodbridge; ON L4L 8Z2,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 6:00 pm,10:00 am - 6:00 pm
Mississauga Urgent Care Clinic,1500 Dundas Street East (inside Walmart); Mississauga; On L4X 1L4,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 6:00 pm,10:00 am - 6:00 pm
kid-E-care,491 Eglinton Avenue W; Toronto; ON M5N 1A8,6:00 pm - 10:00 pm,6:00 pm - 10:00 pm,6:00 pm - 10:00 pm,6:00 pm - 10:00 pm,6:00 pm - 10:00 pm,12:00 pm - 6:00 pm,12:00 pm - 6:00 pm
MCI The Doctor’s Office,Downtown Core; 200 Bay Street; Toronto; ON M5J 2T6,9:00 am - 6:00 pm,9:00 am - 6:00 pm,9:00 am - 6:00 pm,9:00 am - 6:00 pm,9:00 am - 5:00 pm,10:00 am - 3:00 pm,Closed
Urgent Care Center,Discovery District; Downtown Core 76 Grenville St; Toronto; ON M5S 1B2,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm
Lansdowne Dundas Medical Clinic,Brockton Village; 222 Lansdowne Avenue; Toronto; ON M6K 3C6,9:00 am - 5:00 pm,9:00 am - 5:00 pm,9:00 am - 5:00 pm,9:00 am - 5:00 pm,9:00 am - 5:00 pm,10:00 am - 3:00 pm,10:00 am - 3:00 pm
North York Urgent Care Centre,555 Finch Avenue West,9:00 am - 7:00 pm,9:00 am - 7:00 pm,9:00 am - 7:00 pm,9:00 am - 7:00 pm,9:00 am - 7:00 pm,9:00 am - 3:00 am,9:00 am - 12:00 am
Infinity Health Centre,39 Lower Simcoe Street,8:00 am - 8:00 pm,8:00 am - 8:00 pm,8:00 am - 8:00 pm,8:00 am - 8:00 pm,8:00 am - 8:00 pm,10:00 am - 3:00 pm,10:00 am - 3:00 pm
Markham McNicoll Urgent Care Centre (MMUCC),2901 Markham Road; Unit 11,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 4:00 pm,9:00 am - 4:00 pm
Ellesmere Health Care Centre and Walk-In Clinic,2060 Ellesmere Road; Unit 1,9:00 am - 8:00 pm,9:00 am - 8:00 pm,9:00 am - 8:00 pm,9:00 am - 8:00 pm,9:00 am - 8:00 pm,9:00 am - 2:00 pm,11:00 am - 3:00 pm
Queensway Health Centre,150 Sherway Drive; Etobicoke; Ontario,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm
Urgent Care and Family Medicine,1145 Morningside Ave; Scarborough; ON,9:30 am - 7:30 pm,9:30 am - 7:30 pm,9:30 am - 7:30 pm,9:30 am - 7:30 pm,9:30 am - 7:30 pm,11:00 am - 3:00 pm,11:00 am - 3:00 pm
Matlis Medical; Urgent Walk In Clinic,8200 Bayview Ave; Thornhill; ON,9:30 am - 8:00 pm,9:30 am - 8:00 pm,9:30 am - 8:00 pm,9:30 am - 8:00 pm,9:30 am - 8:00 pm,9:30 am - 4:00 pm,9:30 am - 4:00 pm
Humber Urgent Care Centre,2111 Finch Ave W; Toronto; ON M3N 1W1,9:00 am - 7:00 pm,9:00 am - 7:00 pm,9:00 am - 7:00 pm,9:00 am - 7:00 pm,9:00 am - 7:00 pm,9:00 am - 7:00 pm,9:00 am - 7:00 pm
